identifier,protein_families,pfam,pfam_clan,keyword,family,genus,gene_name,protein_name,uniprot_kb_id
P0C6S4,venom metalloproteinase (M12B) family|IC,,,KW-1217 (Cell adhesion impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1199 (Hemostasis impairing toxin);KW-1201 (Platelet aggregation inhibiting toxin);KW-0964 (Secreted);KW-0800 (Toxin),Viperidae,Eristicophis,,Disintegrin eristostatin,VM2TO_ERIMA
P0C7P5,In the N-terminal section|IC,PF00212 (ANP)|48.1,,KW-0165 (Cleavage on pair of basic residues);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0382 (Hypotensive agent);KW-0481 (Metalloenzyme inhibitor);KW-0483 (Metalloprotease inhibitor);KW-0646 (Protease inhibitor);KW-0873 (Pyrrolidone carboxylic acid);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0838 (Vasoactive);KW-0840 (Vasodilator),Viperidae,Protobothrops,,Bradykinin-potentiating and C-type natriuretic peptides,BNP_PROFL
P0C8M1,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|102.0,CL0629 (PLA2),KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0378 (Hydrolase);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-0959 (Myotoxin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin),Viperidae,Bothrops,,Basic phospholipase A2 BmTX-I,PA2B1_BOTMO
P0CC16,flavin monoamine oxidase family|IC,,,KW-0044 (Antibiotic);KW-0929 (Antimicrobial);KW-0053 (Apoptosis);KW-0204 (Cytolysis);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0285 (Flavoprotein);KW-0288 (FMN);KW-0325 (Glycoprotein);KW-0354 (Hemolysis);KW-1200 (Hemorrhagic toxin);KW-1199 (Hemostasis impairing toxin);KW-0560 (Oxidoreductase);KW-0964 (Secreted);KW-0800 (Toxin),Viperidae,Agkistrodon,,L-amino-acid oxidase,OXLA_AGKCL
P0CE83,arthropod phospholipase D family|IC,PF13653 (GDPD_2)|44.7,CL0036 (TIM_barrel),KW-0204 (Cytolysis);KW-1061 (Dermonecrotic toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0354 (Hemolysis);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0456 (Lyase);KW-0460 (Magnesium);KW-0479 (Metal-binding);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0865 (Zymogen),Sicariidae,Loxosceles,,Dermonecrotic toxin LiSicTox-alphaIA2ai,A1IA1_LOXIN
P0DI89,flavin monoamine oxidase family|IC,,,KW-0044 (Antibiotic);KW-0929 (Antimicrobial);KW-0053 (Apoptosis);KW-0204 (Cytolysis);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0274 (FAD);KW-0285 (Flavoprotein);KW-0325 (Glycoprotein);KW-0354 (Hemolysis);KW-1199 (Hemostasis impairing toxin);KW-0560 (Oxidoreductase);KW-1201 (Platelet aggregation inhibiting toxin);KW-0964 (Secreted);KW-0800 (Toxin),Viperidae,Bothrops,,L-amino-acid oxidase,OXLA_BOTLC
P0DI91,flavin monoamine oxidase family|IC,,,KW-0044 (Antibiotic);KW-0929 (Antimicrobial);KW-0053 (Apoptosis);KW-0204 (Cytolysis);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0274 (FAD);KW-0285 (Flavoprotein);KW-0325 (Glycoprotein);KW-0354 (Hemolysis);KW-1199 (Hemostasis impairing toxin);KW-0560 (Oxidoreductase);KW-1201 (Platelet aggregation inhibiting toxin);KW-0964 (Secreted);KW-0800 (Toxin),Elapidae,Naja,,L-amino-acid oxidase,OXLA_NAJOX
P0DJ31,short scorpion toxin superfamily|IC,PF00451 (Toxin_2)|40.9,CL0054 (Knottin_1),KW-0002 (3D-structure);KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0800 (Toxin),Vaejovidae,Vaejovis,,Potassium channel toxin alpha-KTx 23.1,KA231_VAEMS
P0DJ86,peptidase S1 family|SAM,PF00089 (Trypsin)|190.9,CL0124 (Peptidase_PA),KW-1204 (Blood coagulation cascade activating toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0645 (Protease);KW-0964 (Secreted);KW-0720 (Serine protease);KW-0800 (Toxin),Viperidae,Bothrops,,Thrombin-like enzyme leucurobin,VSPL_BOTLC
P0DJE1,venom metalloproteinase (M12B) family|IC,,,KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1206 (Fibrinogenolytic toxin);KW-1200 (Hemorrhagic toxin);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-0959 (Myotoxin);KW-0645 (Protease);KW-0964 (Secreted);KW-0800 (Toxin);KW-0862 (Zinc),Viperidae,Bothrops,,Snake venom metalloproteinase Batx-1,VM1B1_BOTAT
P0DJE9,peptidase S1 family|SAM,PF00089 (Trypsin)|136.7,CL0124 (Peptidase_PA),KW-1204 (Blood coagulation cascade activating toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-1202 (Platelet aggregation activating toxin);KW-0645 (Protease);KW-0964 (Secreted);KW-0720 (Serine protease);KW-0800 (Toxin),Viperidae,Bothrops,,Thrombin-like enzyme TLBm,VSP1_BOTMA
P0DJF0,peptidase S1 family|SAM,,,KW-1204 (Blood coagulation cascade activating toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0645 (Protease);KW-0964 (Secreted);KW-0720 (Serine protease);KW-0730 (Sialic acid);KW-0800 (Toxin),Viperidae,Bothrops,,Thrombin-like enzyme BJ-48,VSP48_BOTJR
P0DKU1,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|121.6,CL0629 (PLA2),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1199 (Hemostasis impairing toxin);KW-0872 (Ion channel impairing toxin);KW-0959 (Myotoxin);KW-0528 (Neurotoxin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0800 (Toxin);KW-1220 (Voltage-gated potassium channel impairing toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Viperidae,Gloydius,,Basic phospholipase A2 homolog Gln49-PLA2,PA2H_GLOUS
P0DKX7,In the N-terminal section|IC,PF00353 (HemolysinCabind)|201.3;PF02382 (RTX)|398.5;PF03497 (Anthrax_toxA)|147.2;PF06594 (HCBP_related)|24.0,CL0592 (beta_Roll),KW-0002 (3D-structure);KW-0067 (ATP-binding);KW-0106 (Calcium);KW-0112 (Calmodulin-binding);KW-0115 (cAMP biosynthesis);KW-0204 (Cytolysis);KW-0354 (Hemolysis);KW-1032 (Host cell membrane);KW-1043 (Host membrane);KW-0449 (Lipoprotein);KW-0456 (Lyase);KW-0472 (Membrane);KW-0519 (Myristate);KW-0547 (Nucleotide-binding);KW-0564 (Palmitate);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0964 (Secreted);KW-0800 (Toxin);KW-0812 (Transmembrane);KW-0843 (Virulence);KW-0855 (Whooping cough),Alcaligenaceae,Bordetella,cya,Bifunctional hemolysin/adenylate cyclase,CYAA_BORPE
P0DL27,peptidase S1 family|SAM,PF00089 (Trypsin)|49.3,CL0124 (Peptidase_PA),KW-1204 (Blood coagulation cascade activating toxin);KW-1216 (Complement system impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1205 (Fibrinolytic toxin);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-1202 (Platelet aggregation activating toxin);KW-0645 (Protease);KW-0964 (Secreted);KW-0720 (Serine protease);KW-0800 (Toxin),Viperidae,Bothrops,,Thrombin-like enzyme BpirSP41,VSP41_BOTPI
P0DL37,short scorpion toxin superfamily|IC,PF00451 (Toxin_2)|45.4,CL0054 (Knottin_1),KW-0002 (3D-structure);KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Scorpionidae,Urodacus,,Potassium channel toxin alpha-KTx 6.21,KAX6L_UROYA
P0DL68,conotoxin A superfamily|IC,PF07365 (Toxin_8)|23.6,,KW-0008 (Acetylcholine receptor inhibiting toxin);KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin),Conidae,Conus,,Alpha-conotoxin LsIA,CA1A_CONLM
P0DM21,conotoxin A superfamily|IC,PF07365 (Toxin_8)|70.1,,KW-0002 (3D-structure);KW-0008 (Acetylcholine receptor inhibiting toxin);KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0379 (Hydroxylation);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Conidae,Conus,,Alpha-conotoxin TxIA,CA1A_CONTE
P0DM89,venom metalloproteinase (M12B) family|IC,PF00200 (Disintegrin)|75.8;PF01421 (Reprolysin)|209.6;PF08516 (ADAM_CR)|59.1,CL0126 (Peptidase_MA);CL0750 (ADAM_CR_sf),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1206 (Fibrinogenolytic toxin);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0873 (Pyrrolidone carboxylic acid);KW-0964 (Secreted);KW-0800 (Toxin);KW-0862 (Zinc),Viperidae,Gloydius,,Zinc metalloproteinase-disintegrin-like brevilysin H2a,VM32A_GLOBR
P0DPS4,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|119.4,CL0629 (PLA2),KW-1203 (Blood coagulation cascade inhibiting toxin);KW-0106 (Calcium);KW-0204 (Cytolysis);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0354 (Hemolysis);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-1201 (Platelet aggregation inhibiting toxin);KW-0964 (Secreted);KW-0800 (Toxin),Viperidae,Cerastes,,Basic phospholipase A2 Cc2-PLA2,PA2B_CERCE
P0DQN3,neurotoxin 10 (Hwtx-1) family|IC,,,KW-0108 (Calcium channel impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0582 (Pharmaceutical);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0800 (Toxin);KW-1218 (Voltage-gated calcium channel impairing toxin);KW-1220 (Voltage-gated potassium channel impairing toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Theraphosidae,Bumba,,Beta/omega-theraphotoxin-Bp1a,TXPR1_BUMPU
P0DUG4,phospholipase A2 family|IC,,,KW-1203 (Blood coagulation cascade inhibiting toxin);KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-1201 (Platelet aggregation inhibiting toxin);KW-0964 (Secreted);KW-0800 (Toxin),Elapidae,Naja,,Phospholipase A2 TI-Nh,PA2TI_NAJHH
P0DUJ7,glycosyltransferase NleB family|IC,PF24688 (SseK_NleB)|593.4,CL0110 (GT-A),KW-0002 (3D-structure);KW-0325 (Glycoprotein);KW-0328 (Glycosyltransferase);KW-1040 (Host Golgi apparatus);KW-0446 (Lipid-binding);KW-0464 (Manganese);KW-0479 (Metal-binding);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0800 (Toxin);KW-0808 (Transferase);KW-0843 (Virulence),Enterobacteriaceae,Salmonella,sseK3,Protein-arginine N-acetylglucosaminyltransferase SseK3,SSEK3_SALTS
P13208,endothelin/sarafotoxin family|IC,PF00322 (Endothelin)|315.6,,KW-0002 (3D-structure);KW-0123 (Cardiotoxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1213 (G-protein coupled receptor impairing toxin);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0838 (Vasoactive);KW-0839 (Vasoconstrictor),Lamprophiidae,Atractaspis,,Sarafotoxin,SRTX_ATREN
P18177,clostridial glucosylating toxin (LCGT) family|IC,PF01473 (Choline_bind_1)|86.2;PF11713 (Peptidase_C80)|149.5;PF12918 (TcdB_N)|54.8;PF12919 (TcdA_TcdB)|527.6;PF12920 (TcdA_TcdB_pore)|807.7;PF19127 (Choline_bind_3)|135.1,CL0093 (Peptidase_CD);CL0110 (GT-A);CL0694 (Choline_binding),KW-0002 (3D-structure);KW-0068 (Autocatalytic cleavage);KW-0903 (Direct protein sequencing);KW-0260 (Enterotoxin);KW-0328 (Glycosyltransferase);KW-1032 (Host cell membrane);KW-1035 (Host cytoplasm);KW-1039 (Host endosome);KW-1043 (Host membrane);KW-0378 (Hydrolase);KW-0446 (Lipid-binding);KW-0460 (Magnesium);KW-0464 (Manganese);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0645 (Protease);KW-0677 (Repeat);KW-0964 (Secreted);KW-0788 (Thiol protease);KW-0800 (Toxin);KW-0808 (Transferase);KW-0843 (Virulence);KW-0862 (Zinc),Peptostreptococcaceae,Clostridioides,tcdB,Toxin B,TCDB_CLODI
P18965,peptidase S1 family|IC,PF00089 (Trypsin)|188.0,CL0124 (Peptidase_PA),KW-0002 (3D-structure);KW-1204 (Blood coagulation cascade activating toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0645 (Protease);KW-0964 (Secreted);KW-0720 (Serine protease);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Daboia,,Factor V activator RVV-V gamma,VSPG_DABSI
P20005,peptidase S1 family|IC,PF00089 (Trypsin)|50.9,CL0124 (Peptidase_PA),KW-1204 (Blood coagulation cascade activating toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0645 (Protease);KW-0964 (Secreted);KW-0720 (Serine protease);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Ovophis,,Thrombin-like enzyme okinaxobin-1,VSP1_OVOOK
P22796,venom metalloproteinase (M12B) family|IC,PF01421 (Reprolysin)|227.7,CL0126 (Peptidase_MA),KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-1200 (Hemorrhagic toxin);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-0959 (Myotoxin);KW-0645 (Protease);KW-0964 (Secreted);KW-0800 (Toxin);KW-0862 (Zinc),Viperidae,Lachesis,,Snake venom metalloproteinase hemorrhagic factor 2,VM1H2_LACMU
P23631,cationic peptide 01 (latrotoxin) family|IC,PF00023 (Ank)|320.7;PF12796 (Ank_2)|387.0;PF13637 (Ank_4)|274.8,CL0465 (Ank),KW-0002 (3D-structure);KW-0040 (ANK repeat);KW-0165 (Cleavage on pair of basic residues);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0268 (Exocytosis);KW-1213 (G-protein coupled receptor impairing toxin);KW-0472 (Membrane);KW-0528 (Neurotoxin);KW-0638 (Presynaptic neurotoxin);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-1052 (Target cell membrane);KW-1053 (Target membrane);KW-0800 (Toxin);KW-0812 (Transmembrane),Theridiidae,Latrodectus,,Alpha-latrotoxin-Lt1a,LATA_LATTR
P28880,conotoxin O1 superfamily|IC,PF02950 (Conotoxin)|55.6,CL0083 (Omega_toxin),KW-0027 (Amidation);KW-0108 (Calcium channel impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0379 (Hydroxylation);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0638 (Presynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-1218 (Voltage-gated calcium channel impairing toxin),Conidae,Conus,,Omega-conotoxin SVIA,O16A_CONST
P33186,ribosome-inactivating protein family|IC,PF00161 (RIP)|145.0,,KW-0002 (3D-structure);KW-0020 (Allergen);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0378 (Hydrolase);KW-0611 (Plant defense);KW-0652 (Protein synthesis inhibitor);KW-0732 (Signal);KW-0800 (Toxin),Euphorbiaceae,Suregada,GEL,Ribosome-inactivating protein gelonin,RIPG_SURMU
P45658,long (4 C-C) scorpion toxin superfamily|IC,PF00537 (Toxin_3)|74.5,CL0054 (Knottin_1),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Buthidae,Androctonus,,Toxin Aah4,SCX4_ANDAU
P49121,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|112.2,CL0629 (PLA2),KW-0002 (3D-structure);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0358 (Heparin-binding);KW-0959 (Myotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Agkistrodon,,Basic phospholipase A2 homolog MT1,PA2H1_AGKCL
P49268,neurotoxin 13 (insecticidal toxin ABC) family|IC,PF08091 (Toxin_21)|73.7,CL0083 (Omega_toxin),KW-0002 (3D-structure);KW-0108 (Calcium channel impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0800 (Toxin);KW-1218 (Voltage-gated calcium channel impairing toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Euctenizidae,Apomastus,,Mu-cyrtautoxin-As1a,TXP3_APOSC
P50984,conotoxin A superfamily|IC,,,KW-0002 (3D-structure);KW-0008 (Acetylcholine receptor inhibiting toxin);KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0765 (Sulfation);KW-0800 (Toxin),Conidae,Conus,,Alpha-conotoxin PnIA,CA1A_CONPE
P56638,conotoxin A superfamily|IC,PF07365 (Toxin_8)|72.7,,KW-0002 (3D-structure);KW-0008 (Acetylcholine receptor inhibiting toxin);KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0765 (Sulfation);KW-0800 (Toxin),Conidae,Conus,,Alpha-conotoxin EpI,CA1A_CONEP
P56676,neurotoxin 10 (Hwtx-1) family|IC,,,KW-0002 (3D-structure);KW-0108 (Calcium channel impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0638 (Presynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-1218 (Voltage-gated calcium channel impairing toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Theraphosidae,Cyriopagopus,,Mu/omega-theraphotoxin-Hs1a,TXH1_CYRSC
P56742,flavin monoamine oxidase family|IC,PF01593 (Amino_oxidase)|287.1,CL0063 (NADP_Rossmann),KW-0044 (Antibiotic);KW-0929 (Antimicrobial);KW-0053 (Apoptosis);KW-0204 (Cytolysis);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0274 (FAD);KW-0285 (Flavoprotein);KW-0325 (Glycoprotein);KW-0354 (Hemolysis);KW-1200 (Hemorrhagic toxin);KW-1199 (Hemostasis impairing toxin);KW-0560 (Oxidoreductase);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Crotalus,,L-amino-acid oxidase apoxin-1,OXLA_CROAT
P58924,conotoxin S superfamily|IC,,,KW-0002 (3D-structure);KW-0027 (Amidation);KW-0102 (Bromination);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0379 (Hydroxylation);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Conidae,Conus,,Sigma-conotoxin GVIIIA,CS8A_CONGE
P59888,phospholipase A2 family|IC,PF05826 (Phospholip_A2_2)|98.0,CL0629 (PLA2),KW-0106 (Calcium);KW-0108 (Calcium channel impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0378 (Hydrolase);KW-0872 (Ion channel impairing toxin);KW-0442 (Lipid degradation);KW-0443 (Lipid metabolism);KW-0479 (Metal-binding);KW-0528 (Neurotoxin);KW-1219 (Ryanodine-sensitive calcium-release channel impairing toxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0865 (Zymogen),Scorpionidae,Pandinus,,Phospholipase A2 imperatoxin-1,IPTXI_PANIM
P60244,venom metalloproteinase (M12B) family|IC,PF01421 (Reprolysin)|200.6,CL0126 (Peptidase_MA),KW-0002 (3D-structure);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-1200 (Hemorrhagic toxin);KW-1199 (Hemostasis impairing toxin);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-0645 (Protease);KW-0964 (Secreted);KW-0800 (Toxin);KW-0862 (Zinc),Viperidae,Deinagkistrodon,,Snake venom metalloproteinase acutolysin-C,VM1A3_DEIAC
P60254,scorpion calcin family|IC,PF08099 (Toxin_27)|83.1,CL0083 (Omega_toxin),KW-0002 (3D-structure);KW-0108 (Calcium channel impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0960 (Knottin);KW-0528 (Neurotoxin);KW-1219 (Ryanodine-sensitive calcium-release channel impairing toxin);KW-0964 (Secreted);KW-0800 (Toxin),Scorpionidae,Scorpio,,Maurocalcin,CAMAU_SCOPA
P60266,long (4 C-C) scorpion toxin superfamily|IC,,,KW-0027 (Amidation);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Buthidae,Centruroides,,Beta-mammal toxin Css4,SCX4_CENSU
P60615,three-finger toxin family|IC,,,KW-0002 (3D-structure);KW-0008 (Acetylcholine receptor inhibiting toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Elapidae,Bungarus,,Alpha-bungarotoxin,3L21A_BUNMU
P61914,actinoporin family|IC,PF06369 (Anemone_cytotox)|355.6,CL0872 (PfC-like),KW-0002 (3D-structure);KW-0165 (Cleavage on pair of basic residues);KW-0204 (Cytolysis);KW-0903 (Direct protein sequencing);KW-0406 (Ion transport);KW-0472 (Membrane);KW-0166 (Nematocyst);KW-0964 (Secreted);KW-0732 (Signal);KW-1052 (Target cell membrane);KW-1053 (Target membrane);KW-0800 (Toxin);KW-0812 (Transmembrane);KW-0813 (Transport),Actiniidae,Actinia,,DELTA-actitoxin-Aeq1a,ACTP2_ACTEQ
P68515,In the N-terminal section|IC,PF00212 (ANP)|49.4,,KW-0165 (Cleavage on pair of basic residues);KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-1214 (G-protein coupled acetylcholine receptor impairing toxin);KW-1213 (G-protein coupled receptor impairing toxin);KW-0382 (Hypotensive agent);KW-0481 (Metalloenzyme inhibitor);KW-0483 (Metalloprotease inhibitor);KW-0646 (Protease inhibitor);KW-0873 (Pyrrolidone carboxylic acid);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0838 (Vasoactive);KW-0840 (Vasodilator),Viperidae,Bothrops,,Bradykinin-potentiating and C-type natriuretic peptides,BNP_BOTIN
P69929,sea anemone BBH family|IC,,,KW-0165 (Cleavage on pair of basic residues);KW-1015 (Disulfide bond);KW-0379 (Hydroxylation);KW-0872 (Ion channel impairing toxin);KW-0166 (Nematocyst);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin);KW-0738 (Voltage-gated sodium channel impairing toxin),Actiniidae,Antheopsis,,Delta-actitoxin-Amc1a,BBH1A_ANTMC
P80719,short scorpion toxin superfamily|IC,PF00451 (Toxin_2)|51.8,CL0054 (Knottin_1),KW-0002 (3D-structure);KW-0027 (Amidation);KW-1221 (Calcium-activated potassium channel impairing toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0632 (Potassium channel impairing toxin);KW-0964 (Secreted);KW-0800 (Toxin);KW-1220 (Voltage-gated potassium channel impairing toxin),Scorpionidae,Scorpio,,Potassium channel toxin alpha-KTx 6.2,KAX62_SCOPA
P80958,three-finger toxin family|IC,PF21947 (Toxin_cobra-type)|52.4,CL0117 (uPAR_Ly6_toxin),KW-0002 (3D-structure);KW-0008 (Acetylcholine receptor inhibiting toxin);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0872 (Ion channel impairing toxin);KW-0528 (Neurotoxin);KW-0629 (Postsynaptic neurotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Elapidae,Naja,,Cobrotoxin-b,3S1CC_NAJAT
P80963,phospholipase A2 family|IC,PF00068 (Phospholip_A2_1)|106.7,CL0629 (PLA2),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0959 (Myotoxin);KW-0964 (Secreted);KW-0732 (Signal);KW-0800 (Toxin),Viperidae,Bothriechis,,Basic phospholipase A2 homolog Bsc-K49,PA2H_BOTSC
