identifier,protein_families,pfam,pfam_clan,keyword,family,gene_name,protein_name,uniprot_kb_id
O43506,,PF00200 (Disintegrin)|80.1;PF01421 (Reprolysin)|172.6;PF01562 (Pep_M12B_propep)|46.3;PF08516 (ADAM_CR)|117.7,CL0126 (Peptidase_MA);CL0750 (ADAM_CR_sf),KW-1015 (Disulfide bond);KW-0245 (EGF-like domain);KW-0325 (Glycoprotein);KW-0378 (Hydrolase);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-0645 (Protease);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0862 (Zinc);KW-0865 (Zymogen),Hominidae,ADAM20,Disintegrin and metalloproteinase domain-containing protein 20,ADA20_HUMAN
O43508,tumor necrosis factor family|IC,PF00229 (TNF)|69.0,CL0100 (C1q_TNF),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0037 (Angiogenesis);KW-0053 (Apoptosis);KW-1003 (Cell membrane);KW-0165 (Cleavage on pair of basic residues);KW-0202 (Cytokine);KW-0217 (Developmental protein);KW-0221 (Differentiation);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0735 (Signal-anchor);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,TNFSF12,Tumor necrosis factor ligand superfamily member 12,TNF12_HUMAN
O43567,,PF02225 (PA)|50.0;PF13639 (zf-RING_2)|53.6,CL0229 (RING);CL0364 (Leu-IlvD),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0225 (Disease variant);KW-0256 (Endoplasmic reticulum);KW-0967 (Endosome);KW-0887 (Epilepsy);KW-0325 (Glycoprotein);KW-0458 (Lysosome);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0808 (Transferase);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0832 (Ubl conjugation);KW-0833 (Ubl conjugation pathway);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,RNF13,E3 ubiquitin-protein ligase RNF13,RNF13_HUMAN
O43570,alpha-carbonic anhydrase family|IC,PF00194 (Carb_anhydrase)|301.3,,KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0456 (Lyase);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0862 (Zinc),Hominidae,CA12,Carbonic anhydrase 12,CAH12_HUMAN
O43592,exportin family|IC,PF03810 (IBN_N)|28.3;PF08389 (Xpo1)|146.8;PF19282 (Exportin-T)|406.2,CL0020 (TPR),KW-0007 (Acetylation);KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0694 (RNA-binding);KW-0813 (Transport);KW-0820 (tRNA-binding),Hominidae,XPOT,Exportin-T,XPOT_HUMAN
O43610,sprouty family|IC,PF05210 (Sprouty)|123.9,,KW-0963 (Cytoplasm);KW-0524 (Neurogenesis);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,SPRY3,Protein sprouty homolog 3,SPY3_HUMAN
O43613,G-protein coupled receptor 1 family|SAM,PF00001 (7tm_1)|208.7,CL0192 (GPCR_A),KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0297 (G-protein coupled receptor);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0807 (Transducer);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,HCRTR1,Orexin/Hypocretin receptor type 1,OX1R_HUMAN
O43639,,PF00017 (SH2)|79.6;PF00018 (SH3_1)|145.0;PF14604 (SH3_9)|135.6,CL0010 (SH3);CL0541 (SH2-like),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0963 (Cytoplasm);KW-0256 (Endoplasmic reticulum);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0727 (SH2 domain);KW-0728 (SH3 domain);KW-0810 (Translation regulation),Hominidae,NCK2,Cytoplasmic protein NCK2,NCK2_HUMAN
O43665,,PF00615 (RGS)|115.2,CL0272 (RGS),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0343 (GTPase activation);KW-0449 (Lipoprotein);KW-0539 (Nucleus);KW-0564 (Palmitate);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0734 (Signal transduction inhibitor),Hominidae,RGS10,Regulator of G-protein signaling 10,RGS10_HUMAN
O43670,,,,KW-0025 (Alternative splicing);KW-0131 (Cell cycle);KW-0132 (Cell division);KW-0137 (Centromere);KW-0158 (Chromosome);KW-0159 (Chromosome partition);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0238 (DNA-binding);KW-0995 (Kinetochore);KW-0479 (Metal-binding);KW-0493 (Microtubule);KW-0498 (Mitosis);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,ZNF207,BUB3-interacting and GLEBS motif-containing protein ZNF207,ZN207_HUMAN
O43687,,PF10470 (AKAP7_RIRII_bdg)|122.9,,KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0449 (Lipoprotein);KW-0472 (Membrane);KW-0519 (Myristate);KW-0564 (Palmitate);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,AKAP7,A-kinase anchor protein 7 isoforms alpha and beta,AKA7A_HUMAN
O43704,sulfotransferase 1 family|IC,PF00685 (Sulfotransfer_1)|343.2,CL0023 (P-loop_NTPase),KW-0002 (3D-structure);KW-0963 (Cytoplasm);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase),Hominidae,SULT1B1,Sulfotransferase 1B1,ST1B1_HUMAN
O43716,GatC family|SAM,PF02686 (GatC)|40.8,CL0735 (GatC-like),KW-0067 (ATP-binding);KW-0225 (Disease variant);KW-0436 (Ligase);KW-0496 (Mitochondrion);KW-0547 (Nucleotide-binding);KW-1274 (Primary mitochondrial disease);KW-0648 (Protein biosynthesis);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,GATC,"Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial",GATC_HUMAN
O43734,,PF08357 (SEFIR)|130.9,CL0173 (STIR),KW-0025 (Alternative splicing);KW-0225 (Disease variant);KW-0395 (Inflammatory response);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase);KW-0833 (Ubl conjugation pathway),Hominidae,TRAF3IP2,E3 ubiquitin ligase TRAF3IP2,CIKS_HUMAN
O43741,5'-AMP-activated protein kinase beta subunit family|IC,PF04739 (AMPKBI)|103.8;PF16561 (AMPK1_CBM)|117.7,CL0369 (GHD),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0275 (Fatty acid biosynthesis);KW-0276 (Fatty acid metabolism);KW-0444 (Lipid biosynthesis);KW-0443 (Lipid metabolism);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,PRKAB2,5'-AMP-activated protein kinase subunit beta-2,AAKB2_HUMAN
O43745,calcineurin regulatory subunit family|IC,PF13202 (EF-hand_5)|54.7;PF13499 (EF-hand_7)|69.7,CL0220 (EF_hand),KW-0002 (3D-structure);KW-0106 (Calcium);KW-1003 (Cell membrane);KW-0963 (Cytoplasm);KW-0449 (Lipoprotein);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0519 (Myristate);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-0653 (Protein transport);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0813 (Transport),Hominidae,CHP2,Calcineurin B homologous protein 2,CHP2_HUMAN
O43749,G-protein coupled receptor 1 family|SAM,PF13853 (7tm_4)|187.7,CL0192 (GPCR_A),KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0297 (G-protein coupled receptor);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-0552 (Olfaction);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0716 (Sensory transduction);KW-0807 (Transducer);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,OR1F1,Olfactory receptor 1F1,OR1F1_HUMAN
O43752,syntaxin family|IC,PF05739 (SNARE)|45.9;PF09177 (STX6_10_61_N)|122.9,CL0445 (SNARE-fusion),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0175 (Coiled coil);KW-0967 (Endosome);KW-0333 (Golgi apparatus);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-0653 (Protein transport);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport),Hominidae,STX6,Syntaxin-6,STX6_HUMAN
O43760,synaptogyrin family|IC,PF01284 (MARVEL)|83.3,CL0396 (Marvel-like),KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0968 (Cytoplasmic vesicle);KW-0903 (Direct protein sequencing);KW-0945 (Host-virus interaction);KW-0551 (Lipid droplet);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0770 (Synapse);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,SYNGR2,Synaptogyrin-2,SNG2_HUMAN
O43776,class-II aminoacyl-tRNA synthetase family|IC,PF00152 (tRNA-synt_2)|258.1;PF01336 (tRNA_anti-codon)|46.9;PF20917 (AsnRS_N)|100.9,CL0021 (OB);CL0040 (tRNA_synt_II),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0030 (Aminoacyl-tRNA synthetase);KW-0067 (ATP-binding);KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-0887 (Epilepsy);KW-0991 (Intellectual disability);KW-0436 (Ligase);KW-0523 (Neurodegeneration);KW-0547 (Nucleotide-binding);KW-0597 (Phosphoprotein);KW-0648 (Protein biosynthesis);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,NARS1,"Asparagine--tRNA ligase, cytoplasmic",SYNC_HUMAN
O43805,SSNA1 family|IC,PF27720 (SSNA1)|147.8,,KW-0007 (Acetylation);KW-0131 (Cell cycle);KW-0132 (Cell division);KW-0966 (Cell projection);KW-0969 (Cilium);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0282 (Flagellum);KW-0524 (Neurogenesis);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,SSNA1,Microtubule nucleation factor SSNA1,SSNA1_HUMAN
O43813,LanC-like protein family|IC,PF05147 (LANC_like)|362.9,CL0059 (6_Hairpin),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-1003 (Cell membrane);KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase);KW-0862 (Zinc),Hominidae,LANCL1,Glutathione S-transferase LANCL1,LANC1_HUMAN
O43819,SCO1/2 family|IC,PF02630 (SCO1-SenC)|165.0,CL0172 (Thioredoxin),KW-0002 (3D-structure);KW-0122 (Cardiomyopathy);KW-0143 (Chaperone);KW-0186 (Copper);KW-0201 (Cytochrome c-type biogenesis);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0431 (Leigh syndrome);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0496 (Mitochondrion);KW-0999 (Mitochondrion inner membrane);KW-1274 (Primary mitochondrial disease);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0809 (Transit peptide);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,SCO2,Cytochrome c oxidase assembly factor SCO2,SCO2_HUMAN
O43820,glycosyl hydrolase 56 family|IC,PF01630 (Glyco_hydro_56)|480.5,CL0036 (TIM_barrel),KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0968 (Cytoplasmic vesicle);KW-1015 (Disulfide bond);KW-0245 (EGF-like domain);KW-0256 (Endoplasmic reticulum);KW-0967 (Endosome);KW-0278 (Fertilization);KW-0325 (Glycoprotein);KW-0326 (Glycosidase);KW-0378 (Hydrolase);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0732 (Signal),Hominidae,HYAL3,Hyaluronidase-3,HYAL3_HUMAN
O43829,krueppel C2H2-type zinc-finger protein family|IC,PF00096 (zf-C2H2)|89.0;PF00651 (BTB)|101.7,CL0033 (POZ);CL0361 (C2H2-zf),KW-0010 (Activator);KW-0238 (DNA-binding);KW-1017 (Isopeptide bond);KW-0479 (Metal-binding);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0678 (Repressor);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0832 (Ubl conjugation);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,ZBTB14,Zinc finger and BTB domain-containing protein 14,ZBT14_HUMAN
O43837,isocitrate and isopropylmalate dehydrogenases family|IC,PF00180 (Iso_dh)|260.5,CL0270 (Iso_DH),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0225 (Disease variant);KW-0496 (Mitochondrion);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0682 (Retinitis pigmentosa);KW-0809 (Transit peptide);KW-0816 (Tricarboxylic acid cycle),Hominidae,IDH3B,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",IDH3B_HUMAN
O43852,CREC family|IC,PF13202 (EF-hand_5)|51.9,CL0220 (EF_hand),KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0106 (Calcium);KW-0903 (Direct protein sequencing);KW-0256 (Endoplasmic reticulum);KW-0325 (Glycoprotein);KW-0333 (Golgi apparatus);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0703 (Sarcoplasmic reticulum);KW-0964 (Secreted);KW-0732 (Signal),Hominidae,CALU,Calumenin,CALU_HUMAN
O43895,peptidase M24B family|IC,PF00557 (Peptidase_M24)|146.8;PF01321 (Creatinase_N)|60.9;PF16188 (Peptidase_M24_C)|77.5;PF16189 (Creatinase_N_2)|154.0,CL0356 (AMP_N-like),KW-0031 (Aminopeptidase);KW-1003 (Cell membrane);KW-0325 (Glycoprotein);KW-0336 (GPI-anchor);KW-0378 (Hydrolase);KW-0449 (Lipoprotein);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0482 (Metalloprotease);KW-0645 (Protease);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0862 (Zinc),Hominidae,XPNPEP2,Xaa-Pro aminopeptidase 2,XPP2_HUMAN
O43920,complex I NDUFS5 subunit family|IC,PF10200 (Ndufs5)|193.8,CL0351 (CHCH),KW-0002 (3D-structure);KW-1015 (Disulfide bond);KW-0249 (Electron transport);KW-0472 (Membrane);KW-0496 (Mitochondrion);KW-0999 (Mitochondrion inner membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0679 (Respiratory chain);KW-0813 (Transport),Hominidae,NDUFS5,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,NDUS5_HUMAN
O43927,intercrine alpha (chemokine CxC) family|IC,PF00048 (IL8)|56.3,CL0730 (IL8),KW-0002 (3D-structure);KW-0145 (Chemotaxis);KW-0202 (Cytokine);KW-1015 (Disulfide bond);KW-0395 (Inflammatory response);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0732 (Signal),Hominidae,CXCL13,C-X-C motif chemokine 13,CXL13_HUMAN
O60218,aldo/keto reductase family|IC,PF00248 (Aldo_ket_red)|211.2,CL0036 (TIM_barrel),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0443 (Lipid metabolism);KW-0458 (Lysosome);KW-0521 (NADP);KW-0560 (Oxidoreductase);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0964 (Secreted),Hominidae,AKR1B10,Aldo-keto reductase family 1 member B10,AK1BA_HUMAN
O60229,protein kinase superfamily|IC,PF00041 (fn3)|50.8;PF00069 (Pkinase)|205.4;PF00435 (Spectrin)|126.0;PF00621 (RhoGEF)|254.9;PF07679 (I-set)|67.2;PF13716 (CRAL_TRIO_2)|41.7;PF16609 (SH3-RhoG_link)|127.0;PF22697 (SOS1_NGEF_PH)|205.2;PF23323 (Spectrin_6)|135.0;PF23587 (SH3_KALRN)|153.5,CL0010 (SH3);CL0016 (PKinase);CL0159 (E-set);CL0266 (PH);CL0512 (CRAL_TRIO);CL0743 (Spectrin);CL0852 (DH-like),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-1015 (Disulfide bond);KW-0344 (Guanine-nucleotide releasing factor);KW-0393 (Immunoglobulin domain);KW-0418 (Kinase);KW-0460 (Magnesium);KW-0479 (Metal-binding);KW-0547 (Nucleotide-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0723 (Serine/threonine-protein kinase);KW-0728 (SH3 domain);KW-0808 (Transferase),Hominidae,KALRN,Kalirin,KALRN_HUMAN
O60241,G-protein coupled receptor 2 family|IC,PF00002 (7tm_2)|210.8;PF00090 (TSP_1)|140.4;PF01825 (GPS)|53.8;PF16489 (GAIN)|77.4;PF19188 (AGRB_N)|254.0,CL0192 (GPCR_A);CL0661 (Gain);CL0692 (TSP1),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0297 (G-protein coupled receptor);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-0654 (Proteoglycan);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-0807 (Transducer);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,ADGRB2,Adhesion G protein-coupled receptor B2,AGRB2_HUMAN
O60243,sulfotransferase 6 family|IC,PF03567 (Sulfotransfer_2)|126.2,CL0023 (P-loop_NTPase),KW-0025 (Alternative splicing);KW-0175 (Coiled coil);KW-0225 (Disease variant);KW-0325 (Glycoprotein);KW-1016 (Hypogonadotropic hypogonadism);KW-0956 (Kallmann syndrome);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0735 (Signal-anchor);KW-0808 (Transferase);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,HS6ST1,Heparan-sulfate 6-O-sulfotransferase 1,H6ST1_HUMAN
O60244,Mediator complex subunit 14 family|IC,PF08638 (Med14)|202.0;PF22981 (RM2_Med14)|90.1;PF22983 (RM8_Med14)|103.4;PF22984 (RM6_Med14)|95.0;PF25065 (RM3_Med14)|94.7;PF25067 (RM5_Med14)|124.4;PF25069 (Med14_C)|170.7,,KW-0002 (3D-structure);KW-0010 (Activator);KW-0903 (Direct protein sequencing);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0804 (Transcription);KW-0805 (Transcription regulation),Hominidae,MED14,Mediator of RNA polymerase II transcription subunit 14,MED14_HUMAN
O60256,ribose-phosphate pyrophosphokinase family|IC,PF13793 (Pribosyltran_N)|137.7;PF14572 (Pribosyl_synth)|339.1,CL0533 (PRTase-like),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0903 (Direct protein sequencing);KW-0545 (Nucleotide biosynthesis);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,PRPSAP2,Phosphoribosyl pyrophosphate synthase-associated protein 2,KPRB_HUMAN
O60282,TRAFAC class myosin-kinesin ATPase superfamily|SAM,PF00225 (Kinesin)|385.2,CL0023 (P-loop_NTPase),KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0966 (Cell projection);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0225 (Disease variant);KW-0378 (Hydrolase);KW-0493 (Microtubule);KW-0505 (Motor protein);KW-0547 (Nucleotide-binding);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0813 (Transport),Hominidae,KIF5C,Kinesin heavy chain isoform 5C,KIF5C_HUMAN
O60291,,PF13920 (zf-C3HC4_3)|54.8;PF26192 (RNF157-like_N)|60.0,CL0159 (E-set);CL0229 (RING),KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0963 (Cytoplasm);KW-0967 (Endosome);KW-0449 (Lipoprotein);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0519 (Myristate);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase);KW-0832 (Ubl conjugation);KW-0833 (Ubl conjugation pathway);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,MGRN1,E3 ubiquitin-protein ligase MGRN1,MGRN1_HUMAN
O60292,,PF00595 (PDZ)|24.2;PF02145 (Rap_GAP)|217.0;PF11881 (SPAR_C)|321.2;PF21022 (Rap-GAP_dimer)|40.7,CL0466 (PDZ-like),KW-0007 (Acetylation);KW-0898 (Cataract);KW-1003 (Cell membrane);KW-0160 (Chromosomal rearrangement);KW-0175 (Coiled coil);KW-0343 (GTPase activation);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,SIPA1L3,Signal-induced proliferation-associated 1-like protein 3,SI1L3_HUMAN
O60303,,PF14652 (DUF4457)|668.1,,KW-0966 (Cell projection);KW-1186 (Ciliopathy);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0979 (Joubert syndrome);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,KATNIP,Katanin-interacting protein,KATIP_HUMAN
O60304,krueppel C2H2-type zinc-finger protein family|IC,PF00096 (zf-C2H2)|110.0;PF01352 (KRAB)|25.8;PF02023 (SCAN)|138.9,CL0148 (Viral_Gag);CL0361 (C2H2-zf),KW-0025 (Alternative splicing);KW-0238 (DNA-binding);KW-0479 (Metal-binding);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,ZNF500,Zinc finger protein 500,ZN500_HUMAN
O60312,cation transport ATPase (P-type) (TC 3|IC,PF13246 (Cation_ATPase)|60.8;PF16209 (PhoLip_ATPase_N)|73.1;PF16212 (PhoLip_ATPase_C)|277.1,CL0137 (HAD),KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-1003 (Cell membrane);KW-0256 (Endoplasmic reticulum);KW-0445 (Lipid transport);KW-0460 (Magnesium);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0547 (Nucleotide-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-1278 (Translocase);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport),Hominidae,ATP10A,Phospholipid-transporting ATPase VA,AT10A_HUMAN
O60313,TRAFAC class dynamin-like GTPase superfamily|SAM,PF00350 (Dynamin_N)|138.4;PF19434 (OPA1_C)|538.0,CL0023 (P-loop_NTPase),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0053 (Apoptosis);KW-0122 (Cardiomyopathy);KW-0175 (Coiled coil);KW-0209 (Deafness);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0342 (GTP-binding);KW-0378 (Hydrolase);KW-0446 (Lipid-binding);KW-0472 (Membrane);KW-0496 (Mitochondrion);KW-0999 (Mitochondrion inner membrane);KW-0523 (Neurodegeneration);KW-0547 (Nucleotide-binding);KW-1274 (Primary mitochondrial disease);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0716 (Sensory transduction);KW-0809 (Transit peptide);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0844 (Vision),Hominidae,OPA1,"Dynamin-like GTPase OPA1, mitochondrial",OPA1_HUMAN
O60331,,PF01504 (PIP5K)|329.6,CL0016 (PKinase),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0130 (Cell adhesion);KW-0965 (Cell junction);KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-0145 (Chemotaxis);KW-0963 (Cytoplasm);KW-0225 (Disease variant);KW-0254 (Endocytosis);KW-0268 (Exocytosis);KW-0418 (Kinase);KW-0443 (Lipid metabolism);KW-0472 (Membrane);KW-0488 (Methylation);KW-0547 (Nucleotide-binding);KW-0539 (Nucleus);KW-0581 (Phagocytosis);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase),Hominidae,PIP5K1C,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma,PI51C_HUMAN
O60341,flavin monoamine oxidase family|IC,PF01593 (Amino_oxidase)|351.3;PF04433 (SWIRM)|73.4,CL0063 (NADP_Rossmann);CL0123 (HTH),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0156 (Chromatin regulator);KW-0158 (Chromosome);KW-0175 (Coiled coil);KW-1062 (Cushing syndrome);KW-0217 (Developmental protein);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-0274 (FAD);KW-0285 (Flavoprotein);KW-1017 (Isopeptide bond);KW-0539 (Nucleus);KW-0560 (Oxidoreductase);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0678 (Repressor);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0832 (Ubl conjugation),Hominidae,KDM1A,Lysine-specific histone demethylase 1A,KDM1A_HUMAN
